MC_Stationary,TD_Stationary,MC_Shift,TD_Shift
-161.72983443526792,-164.7385928992024,-276.1047099001575,-240.37344463012556
-169.75795237429736,-293.74787794516243,-278.9429171339478,-235.9943445498193
-978.2102116839367,-181.34292452675513,-239.73751617693335,-204.17483447287643
-267.34074890300985,-201.50463832098717,-265.8471865392177,-274.9622329707744
-187.32884969670363,-175.7360523629342,-294.11910396506187,-140.90336536605514
-268.68184108139053,-198.66180175333997,-247.49507808718457,-210.63564375447044
-222.6106973085504,-195.90610069072915,-246.79684724487333,-180.84346562842092
-168.814778864697,-231.22611514276514,-190.106777014889,-226.57113747858213
-197.78824216153805,-251.3665072990157,-148.98887406857497,-142.30445683563119
-251.22025551741785,-287.54348809131784,-294.30051022561173,-184.22034221340255
-208.9898140152773,-212.35404911745354,-266.9997280830118,-182.07990010044756
-180.87080629093057,-226.14990178728866,-263.2420795588554,-237.9854446899276
-296.3341799852774,-194.47167847845517,-196.8277439120028,-143.30249335750594
-213.55866918318736,-193.65243405099207,-227.05279593693388,-301.3772340446493
-192.87222057550994,-146.11668975052044,-231.31268704998342,-254.0981152320996
-176.48284360721394,-177.25534887011355,-1584.0081421879422,-169.81897175775796
-279.51661831130696,-193.99278571528907,-675.7981974710541,-201.69468820272908
-204.86435625089555,-232.4269109288203,-207.75465704479944,-121.57258020899394
-205.96803231479623,-144.29447228469303,-257.64903368532964,-105.14642592022119
-1245.2002199855433,-147.75751458181955,-226.0372175710753,-120.5138366563968
-210.16586419873005,-192.76163400363242,-193.9845084862056,-161.7536341094095
-221.13365835294735,-124.370852458297,-258.8376123210483,-167.32602577274736
-254.7392420059964,-169.56570407945625,-256.71891845104614,-129.62015662877204
-325.10012306223166,-158.7094411294605,-239.53466339794156,-182.31446599225671
-236.07270016464344,-90.4322784846002,-258.99302842245413,-291.2929748372415
-271.07338097450463,-170.68148167673252,-181.86141793420097,-181.9786717293851
-200.79631634778588,-153.94119117421775,-191.5512263793444,-229.2417379224519
-212.5446810177562,-191.9190332801909,-195.67885986427382,-197.3341735244705
-204.86218452106178,-229.86077067572887,-264.85619282909727,-243.86173071799797
-251.5138860983432,-147.77245742646897,-227.53967390217085,-192.43185914580658
